description,issue_type,key,labels,summary
"h3. *SUMMARY*

Generated module does not work when using templates. Seems to be dependency now to puppet-stdlib.
h3. *REPRODUCE*

 
{code:java}
$ puppet module generate foo/bar --skip-interview
$ mkdir bar/templates
$ cat <<-EOF > bar/templates/index.html.erb
<html>
  <body>
    <h1>hello world</h1>
  </body>
</html>
EOF
$ cat <<-EOF > bar/manifests/init.pp
class bar {
  package { 'apache2':
    ensure => present,
  }
  service { 'apache2':
    ensure => running,
    enable => true,
  }
  file { '/var/www/html/index.html':
    content => template('bar/index.html.erb'),
  }
}
EOF
$ sudo puppet apply --modulepath=. -e 'include ::bar'{code}
 
h3. *DESIRED BEHAVIOR*

Expected that I would have a functional module.
h3. *ACTUAL BEHAVIOR*

 
{code:java}
Warning: ModuleLoader: module 'bar' has unresolved dependencies - it will only see those that are resolved. Use 'puppet module list --tree' to see information about modules\n (file & line not available) 
Notice: Compiled catalog for controlrepo.test in environment production in 0.61 seconds 
Notice: /Stage[main]/Bar/File[/var/www/html/index.html]/content: content changed '{md5}c32ad802df5abca941d784abf642e7fd' to '{md5}2d60ab375367b3e2996c7c1803009d55' 
Notice: Applied catalog in 0.08 seconds
{code}
h3. *NOTES*

When I run the module list command, I get this:

 

 
{code:java}
$ sudo puppet module list --tree --modulepath=. 
Warning: Missing dependency 'puppetlabs-stdlib': 'foo-bar' (v0.1.0) requires 'puppetlabs-stdlib' (>= 1.0.0) 
/vagrant/scratch 
└─┬ foo-bar (v0.1.0) 
  └── UNMET DEPENDENCY puppetlabs-stdlib (>= 1.0.0)
{code}
 ",Bug,PUP-8698,[],puppet module generate broken w/o stdlib
"We should write some RSpec tests that exercise {{Puppet::Rest::Client}} to make real HTTP requests using the HTTPClient backing library against a fake server. This ticket includes doing the research to figure out a good library for standing up mock HTTP servers in Ruby unit tests.

Update: we are already pulling in both WebMock and VCR, which both seem like good options. I think it makes sense to use WebMock for generic testing of the client, and then we can consider using VCR to test the real endpoints, e.g. for downloading certs and CRLs, unless we feel that is already sufficiently covered in puppetserver tests or beaker acceptance tests.",Task,PUP-8697,[],Write integration level test for Puppet::Rest::Client
"Puppet loses track of the current environment when calling the autoloader to load/find:

* applications
* features
* parent providers that haven't been loaded yet, e.g. {{openbsd}} which is a parent of {{freebsd}}, where {{freebsd}} is loaded first because of its name.
* termini

Puppet then falls back to the configured environment ({{Puppet[:environment]}}), which may not match the current environment ({{Puppet.lookup(:current_environment)}}). For the agent specifically, it means we sometimes use the configured environment's modulepath which has a higher precedence than our {{libdir}} containing pluginsync'ed files. This is a problem, because when we include {{vendor_modules}} in the {{basemodulepath}} (see PUP-8582), we don't want that to have higher precedence that the {{libdir}} as the agent might load a type/provider that is incompatible with the type that the master used during compilation.

To reproduce, create the following files on the master:

{noformat}
[root@yhw77y0zn0j776u ~]# tree /etc/puppetlabs/code/environments/production/
/etc/puppetlabs/code/environments/production/
├── data
├── environment.conf
├── hiera.yaml
├── manifests
│   └── site.pp
└── modules
    └── foo
        └── lib
            └── puppet
                ├── feature
                │   └── foo.rb
                ├── provider
                │   └── foo
                │       └── foo.rb
                └── type
                    └── foo.rb

10 directories, 6 files
[root@yhw77y0zn0j776u ~]# find /etc/puppetlabs/code/environments/production/{manifests,modules} -type f -print -exec cat {} \;
/etc/puppetlabs/code/environments/production/manifests/site.pp
foo { 'hi': }
/etc/puppetlabs/code/environments/production/modules/foo/lib/puppet/type/foo.rb
Puppet::Type.newtype(:foo) do
  newparam(:name, namevar: true)
  newproperty(:message)
end
/etc/puppetlabs/code/environments/production/modules/foo/lib/puppet/feature/foo.rb
Puppet.features.add(:foo, libs: ['pp'])
/etc/puppetlabs/code/environments/production/modules/foo/lib/puppet/provider/foo/foo.rb
Puppet::Type.type(:foo).provide(:foo) do
  confine :feature => :foo

  def message=(value)
    puts value
  end

  def message
    :absent
  end
end
{noformat}

On the agent which must be one a different host, create a bogus feature:

{noformat}
$ tree ~/.puppetlabs/etc/code/environments/production/modules
/Users/josh/.puppetlabs/etc/code/environments/production/modules
└── foo
    └── lib
        └── puppet
            └── feature
                └── foo.rb

4 directories, 1 file
$ cat ~/.puppetlabs/etc/code/environments/production/modules/foo/lib/puppet/feature/foo.rb
BOOM!!
{noformat}

The agent run will fail, with the path to the bogus feature:

{noformat}
$ bx puppet agent -t
Info: Using configured environment 'production'
Info: Retrieving pluginfacts
Info: Retrieving plugin
Info: Retrieving locales
Info: Caching catalog for localhost
Error: Could not autoload puppet/feature/foo: /Users/josh/.puppetlabs/etc/code/environments/production/modules/foo/lib/puppet/feature/foo.rb:1: syntax error, unexpected end-of-input
Error: Failed to apply catalog: Could not autoload puppet/feature/foo: /Users/josh/.puppetlabs/etc/code/environments/production/modules/foo/lib/puppet/feature/foo.rb:1: syntax error, unexpected end-of-input
{noformat}",Bug,PUP-8696,[],Puppet loses track of the current environment
" 

*Desired Behavior:* When a manifest specifies ensure => stopped ** on a service in Windows that has dependent services, the service resource should be capable of stopping the dependent services to ensure that the requested service can be stopped.

*Actual Behavior:*

Currently the service resource does not understand dependent services. If a running service has dependent services that are still running, the stop command will fail.",Improvement,PUP-8695,"['service', 'windows']",Service resource on Windows should handle dependent services.
"When comparing Numeric to Timestamp or Timespan it does not work to compare with the Numeric value first:

{code:puppet}
1 < Timespan(2)
1 < Timestamp(2)
{code}
but works in reverse
{code:puppet}
Timespan(2) > 1
Timestamp(2) > 1
{code}

It should work both ways.",Bug,PUP-8694,[],"Comparison of Numeric to Timestamp/Timespan fails, but other way is ok"
"In PUP-8603, the functions min and max are added. For backwards compatibility reasons they must continue to compare values with unwanted/strange automatic type conversion. In order to give users a sane alternative those functions will accept a lambda to enable taking over the responsibility to compare. To facilitate that, a {{compare(a,b)}} function should be added that returns -1, 0, 1 depending on the order of the values.

In addition, when {{compare}} is given two strings, it should accept a third Boolean argument to control if string comparison ignores case (true - by default), or not.",New Feature,PUP-8693,[],Add a compare() function
"Please could you add a username / login for Yahel Vahaba, email 
[yahel.vahaba@iop.org|mailto:yahel.vahaba@iop.org]
He is taking the lead on the Puppet work here at IOPP
Thanks
 ",Task,PUP-8692,[],Please add a user to puppetlabs tickets
"HI Team,

 

im configuring the puppet master and client setup i have noticed the below error while runinng the puppet agent command from the below client node can you pls help on here.

 

root@puppetclient:/etc/puppetlabs/puppet# puppet agent -t
Warning: Unable to fetch my node definition, but the agent run will continue:
Warning: getaddrinfo: Name or service not known
Info: Retrieving pluginfacts
Error: /File[/opt/puppetlabs/puppet/cache/facts.d]: Failed to generate additional resources using 'eval_generate': getaddrinfo: Name or service not known
Error: /File[/opt/puppetlabs/puppet/cache/facts.d]: Could not evaluate: Could not retrieve file metadata for puppet:///pluginfacts: getaddrinfo: Name or service not known
Info: Retrieving plugin
Error: /File[/opt/puppetlabs/puppet/cache/lib]: Failed to generate additional resources using 'eval_generate': getaddrinfo: Name or service not known
Error: /File[/opt/puppetlabs/puppet/cache/lib]: Could not evaluate: Could not retrieve file metadata for puppet:///plugins: getaddrinfo: Name or service not known
Error: Could not retrieve catalog from remote server: getaddrinfo: Name or service not known
Warning: Not using cache on failed catalog
Error: Could not retrieve catalog; skipping run
Error: Could not send report: getaddrinfo: Name or service not known
root@puppetclient:/etc/puppetlabs/puppet#",Bug,PUP-8691,[],running agent fails with eval_generate error
"Since PUP-8655, PUP-8656, and PUP-8653 were all touching much of the same code, we opted to just merge the PRs as is and refactor overlapping interests after those had been merged. This ticket is to track that work and make sure it gets done.

Areas for refactor:

* Overlapping functionality in {{decode_cert_bundle}} from {{Puppet::SSL::DefaultValidator}}; probably need specific function for decoding crls and cert bundles
* Usage of {{PuppetSpec::SSL}} in spec tests for {{Puppet::SSL::DefaultValidator}}
* Factor out logic around verify mode for HTTP connections, for use by {{Rest::Client}} and {{SSL::DefaultValidator}}",Sub-task,PUP-8690,[],Refactor Puppet::SSL::* methods and spec tests
"As part of the work to support the intermediate CA, we have decided to experiment with using a third part library for making HTTP requests from the puppet-agent. For now the new client should only be used for SSL bootstrapping requests, but if it proves cleaner and easier, we should ultimately consider using this third-party implementation for all of Puppet's HTTP activity, in lieu of our own request pools.

*In Scope*
- establish a basic API for a new rest client in Puppet, backed by the HTTPClient ruby gem
- Incorporate whatever business logic -- like server/port selection and response processing -- is needed for making requests related to SSL bootstrapping",Improvement,PUP-8688,[],Use HTTPClient library for updates to Puppet's REST behavior
"The {{--logdest}} option is described like this:
{quote}A path ending with '.json' will receive structured output in JSON format. The log file will not have an ending ']' automatically written to it due to the appending nature of logging. It must be appended manually to make the content valid JSON.
{quote}
[https://puppet.com/docs/puppet/5.5/man/agent.html]

Instead of writing out invalid JSON that must be manually accounted for, we should write out newline-delimited JSON. There are libraries that can work with this file format rather than needing to manually account for the closing {{]}} each time you work with it.

* https://en.wikipedia.org/wiki/JSON_streaming#Line-delimited_JSON
* http://jsonlines.org
* http://ndjson.org/libraries.html",Improvement,PUP-8687,[],Should log JSON in newline-delimited format
